+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  [s2b-k_pawns8-ET] 141/512 games (2254/h, eta 10m)
  [s2b-k_pawns8-ET] 142/512 games (2262/h, eta 10m)
  [s2b-k_pawns8-ET] 143/512 games (2265/h, eta 10m)
  [s2b-k_pawns8-ET] 144/512 games (2255/h, eta 10m)
  [s2b-k_pawns8-ET] 145/512 games (2243/h, eta 10m)
  [s2b-k_pawns8-ET] 146/512 games (2246/h, eta 10m)
  [s2b-k_pawns8-ET] 147/512 games (2241/h, eta 10m)
  [s2b-k_pawns8-ET] 148/512 games (2240/h, eta 10m)
  [s2b-k_pawns8-ET] 149/512 games (2245/h, eta 10m)
  [s2b-k_pawns8-ET] 150/512 games (2249/h, eta 10m)
  [s2b-k_pawns8-ET] 151/512 games (2235/h, eta 10m)
  [s2b-k_pawns8-ET] 152/512 games (2249/h, eta 10m)
  [s2b-k_pawns8-ET] 153/512 games (2254/h, eta 10m)
  [s2b-k_pawns8-ET] 154/512 games (2263/h, eta 9m)
  [s2b-k_pawns8-ET] 155/512 games (2264/h, eta 9m)
  [s2b-k_pawns8-ET] 156/512 games (2256/h, eta 9m)
  [s2b-k_pawns8-ET] 157/512 games (2266/h, eta 9m)
  [s2b-k_pawns8-ET] 158/512 games (2276/h, eta 9m)
  [s2b-k_pawns8-ET] 159/512 games (2283/h, eta 9m)
  [s2b-k_pawns8-ET] 160/512 games (2290/h, eta 9m)
  [s2b-k_pawns8-ET] 161/512 games (2283/h, eta 9m)
  [s2b-k_pawns8-ET] 162/512 games (2284/h, eta 9m)
  [s2b-k_pawns8-ET] 163/512 games (2288/h, eta 9m)
  [s2b-k_pawns8-ET] 164/512 games (2291/h, eta 9m)
  [s2b-k_pawns8-ET] 165/512 games (2276/h, eta 9m)
  [s2b-k_pawns8-ET] 166/512 games (2285/h, eta 9m)
  [s2b-k_pawns8-ET] 167/512 games (2298/h, eta 9m)
  [s2b-k_pawns8-ET] 168/512 games (2285/h, eta 9m)
  [s2b-k_pawns8-ET] 169/512 games (2298/h, eta 9m)
  [s2b-k_pawns8-ET] 170/512 games (2255/h, eta 9m)
  [s2b-k_pawns8-ET] 171/512 games (2254/h, eta 9m)
  [s2b-k_pawns8-ET] 172/512 games (2242/h, eta 9m)
  [s2b-k_pawns8-ET] 173/512 games (2235/h, eta 9m)
  [s2b-k_pawns8-ET] 174/512 games (2241/h, eta 9m)
  [s2b-k_pawns8-ET] 175/512 games (2250/h, eta 9m)
  [s2b-k_pawns8-ET] 176/512 games (2238/h, eta 9m)
  [s2b-k_pawns8-ET] 177/512 games (2233/h, eta 9m)
  [s2b-k_pawns8-ET] 178/512 games (2236/h, eta 9m)
  [s2b-k_pawns8-ET] 179/512 games (2246/h, eta 9m)
  [s2b-k_pawns8-ET] 180/512 games (2252/h, eta 9m)
  [s2b-k_pawns8-ET] 181/512 games (2248/h, eta 9m)
  [s2b-k_pawns8-ET] 182/512 games (2255/h, eta 9m)
  [s2b-k_pawns8-ET] 183/512 games (2262/h, eta 9m)
  [s2b-k_pawns8-ET] 184/512 games (2254/h, eta 9m)
  [s2b-k_pawns8-ET] 185/512 games (2246/h, eta 9m)
  [s2b-k_pawns8-ET] 186/512 games (2258/h, eta 9m)
  [s2b-k_pawns8-ET] 187/512 games (2261/h, eta 9m)
  [s2b-k_pawns8-ET] 188/512 games (2263/h, eta 9m)
  [s2b-k_pawns8-ET] 189/512 games (2272/h, eta 9m)
  [s2b-k_pawns8-ET] 190/512 games (2259/h, eta 9m)
  [s2b-k_pawns8-ET] 191/512 games (2249/h, eta 9m)
  [s2b-k_pawns8-ET] 192/512 games (2252/h, eta 9m)
  [s2b-k_pawns8-ET] 193/512 games (2256/h, eta 8m)
  [s2b-k_pawns8-ET] 194/512 games (2261/h, eta 8m)
  [s2b-k_pawns8-ET] 195/512 games (2259/h, eta 8m)
  [s2b-k_pawns8-ET] 196/512 games (2253/h, eta 8m)
  [s2b-k_pawns8-ET] 197/512 games (2254/h, eta 8m)
  [s2b-k_pawns8-ET] 198/512 games (2252/h, eta 8m)
  [s2b-k_pawns8-ET] 199/512 games (2261/h, eta 8m)
  [s2b-k_pawns8-ET] 200/512 games (2254/h, eta 8m)
  [s2b-k_pawns8-ET] 201/512 games (2238/h, eta 8m)
  [s2b-k_pawns8-ET] 202/512 games (2246/h, eta 8m)
  [s2b-k_pawns8-ET] 203/512 games (2255/h, eta 8m)
  [s2b-k_pawns8-ET] 204/512 games (2259/h, eta 8m)
  [s2b-k_pawns8-ET] 205/512 games (2263/h, eta 8m)
  [s2b-k_pawns8-ET] 206/512 games (2269/h, eta 8m)
  [s2b-k_pawns8-ET] 207/512 games (2269/h, eta 8m)
